ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-13,166.50001166570055,237.00350311726794,495.3363673730583,166.50001166570055,166.50001166570055,197.86779251253557,197.86779251253557,197.86779251253557,134.994845952,134.994845952,134.994845952,151.27819633614848,151.27819633614848,151.27819633614848,-88.4052497756129,-88.4052497756129,-88.4052497756129,0.0,0.0,0.0,364.36780417823616
2019-01-14,166.49355537784226,86.66221642858554,333.96394008468906,166.49355537784226,166.49355537784226,44.986093864855675,44.986093864855675,44.986093864855675,134.994845952,134.994845952,134.994845952,1.7283173055795393,1.7283173055795393,1.7283173055795393,-91.73706939272387,-91.73706939272387,-91.73706939272387,0.0,0.0,0.0,211.47964924269792
2019-01-15,166.48709908998399,-38.83625252109203,218.27403789027855,166.48709908998399,166.48709908998399,-75.9938350760379,-75.9938350760379,-75.9938350760379,134.994845952,134.994845952,134.994845952,-117.1308741927261,-117.1308741927261,-117.1308741927261,-93.85780683531182,-93.85780683531182,-93.85780683531182,0.0,0.0,0.0,90.49326401394609
2019-01-16,166.4806428021257,-72.62200955525557,197.43092697938678,166.4806428021257,166.4806428021257,-107.28498443097659,-107.28498443097659,-107.28498443097659,134.994845952,134.994845952,134.994845952,-147.42928730426468,-147.42928730426468,-147.42928730426468,-94.85054307871191,-94.85054307871191,-94.85054307871191,0.0,0.0,0.0,59.195658371149094
2019-01-17,166.4741865142674,8.090703476721197,254.19849077826527,166.4741865142674,166.4741865142674,-31.351480800570375,-31.351480800570375,-31.351480800570375,134.994845952,134.994845952,134.994845952,-71.53193418591498,-71.53193418591498,-71.53193418591498,-94.8143925666554,-94.8143925666554,-94.8143925666554,0.0,0.0,0.0,135.122705713697
2019-01-18,166.4677302264091,153.74222081934974,388.9984289441946,166.4677302264091,166.4677302264091,103.84174092698518,103.84174092698518,103.84174092698518,134.994845952,134.994845952,134.994845952,62.70838379324586,62.70838379324586,62.70838379324586,-93.86148881826067,-93.86148881826067,-93.86148881826067,0.0,0.0,0.0,270.30947115339427
2019-01-19,166.46127393855082,208.33857128098916,462.48115343023704,166.46127393855082,166.46127393855082,163.25826190119963,163.25826190119963,163.25826190119963,134.994845952,134.994845952,134.994845952,120.37719824801428,120.37719824801428,120.37719824801428,-92.11378229881468,-92.11378229881468,-92.11378229881468,0.0,0.0,0.0,329.71953583975045
2019-01-20,166.45481765069252,234.85841829987606,494.25128658781074,166.45481765069252,166.45481765069252,196.5733014845744,196.5733014845744,196.5733014845744,134.994845952,134.994845952,134.994845952,151.27819633619515,151.27819633619515,151.27819633619515,-89.69974080362078,-89.69974080362078,-89.69974080362078,0.0,0.0,0.0,363.02811913526693
2019-01-21,166.44836136283425,87.66495537394042,335.7617882981036,166.44836136283425,166.44836136283425,49.97212083452019,49.97212083452019,49.97212083452019,134.994845952,134.994845952,134.994845952,1.7283173057205754,1.7283173057205754,1.7283173057205754,-86.75104242320039,-86.75104242320039,-86.75104242320039,0.0,0.0,0.0,216.42048219735443
2019-01-22,166.44190507497595,-27.160982969023983,215.83586924002506,166.44190507497595,166.44190507497595,-65.53537672915058,-65.53537672915058,-65.53537672915058,134.994845952,134.994845952,134.994845952,-117.13087419282043,-117.13087419282043,-117.13087419282043,-83.39934848833018,-83.39934848833018,-83.39934848833018,0.0,0.0,0.0,100.90652834582536
2019-01-23,166.43544878711765,-52.36043384934305,202.03241333089701,166.43544878711765,166.43544878711765,-92.20768021753665,-92.20768021753665,-92.20768021753665,134.994845952,134.994845952,134.994845952,-147.4292873043265,-147.4292873043265,-147.4292873043265,-79.77323886521016,-79.77323886521016,-79.77323886521016,0.0,0.0,0.0,74.227768569581
2019-01-24,166.42899249925938,30.78018170468855,278.7664178332237,166.42899249925938,166.42899249925938,-12.53247301419409,-12.53247301419409,-12.53247301419409,134.994845952,134.994845952,134.994845952,-71.53193418575138,-71.53193418575138,-71.53193418575138,-75.99538478044272,-75.99538478044272,-75.99538478044272,0.0,0.0,0.0,153.89651948506528
2019-01-25,166.42253621140108,164.7592227348591,417.1579067941595,166.42253621140108,166.42253621140108,125.52320448937967,125.52320448937967,125.52320448937967,134.994845952,134.994845952,134.994845952,62.708383793341774,62.708383793341774,62.708383793341774,-72.18002525596211,-72.18002525596211,-72.18002525596211,0.0,0.0,0.0,291.94574070078073
2019-01-26,166.4160799235428,229.59429339796324,469.8578790026945,166.4160799235428,166.4160799235428,186.94124167210796,186.94124167210796,186.94124167210796,134.994845952,134.994845952,134.994845952,120.37719824796012,120.37719824796012,120.37719824796012,-68.43080252785214,-68.43080252785214,-68.43080252785214,0.0,0.0,0.0,353.3573215956508
2019-01-27,166.4096236356845,261.08158837135267,512.1640383501073,166.4096236356845,166.4096236356845,221.4340424352584,221.4340424352584,221.4340424352584,134.994845952,134.994845952,134.994845952,151.27819633617082,151.27819633617082,151.27819633617082,-64.83899985291244,-64.83899985291244,-64.83899985291244,0.0,0.0,0.0,387.8436660709429
2019-01-28,166.40316734782624,110.8013597400541,363.1646543272887,166.40316734782624,166.40316734782624,75.24095101109559,75.24095101109559,75.24095101109559,134.994845952,134.994845952,134.994845952,1.728317305623362,1.728317305623362,1.728317305623362,-61.48221224652778,-61.48221224652778,-61.48221224652778,0.0,0.0,0.0,241.64411835892184
2019-01-29,166.3967110599679,-0.8041158712753906,245.46017801592933,166.3967110599679,166.3967110599679,-40.55949557414427,-40.55949557414427,-40.55949557414427,134.994845952,134.994845952,134.994845952,-117.13087419291472,-117.13087419291472,-117.13087419291472,-58.42346733322957,-58.42346733322957,-58.42346733322957,0.0,0.0,0.0,125.83721548582363
2019-01-30,166.39025477210964,-31.371887956253975,218.55805287760236,166.39025477210964,166.39025477210964,-68.14524137828325,-68.14524137828325,-68.14524137828325,134.994845952,134.994845952,134.994845952,-147.42928730411276,-147.42928730411276,-147.42928730411276,-55.7108000261705,-55.7108000261705,-55.7108000261705,0.0,0.0,0.0,98.2450133938264
2019-01-31,166.38379848425134,49.55728787845128,307.13651122839156,166.38379848425134,166.38379848425134,10.085640190941174,10.085640190941174,10.085640190941174,134.994845952,134.994845952,134.994845952,-71.53193418602476,-71.53193418602476,-71.53193418602476,-53.37727157503407,-53.37727157503407,-53.37727157503407,0.0,0.0,0.0,176.46943867519252
2019-02-01,166.37734219639307,182.37767475139475,436.83975232209474,166.37734219639307,166.37734219639307,146.26181873479726,146.26181873479726,146.26181873479726,134.994845952,134.994845952,134.994845952,62.7083837931469,62.7083837931469,62.7083837931469,-51.44141101034963,-51.44141101034963,-51.44141101034963,0.0,0.0,0.0,312.6391609311903
2019-02-02,166.37088590853477,243.81027844936165,498.96361737460455,166.37088590853477,166.37088590853477,205.46399868664977,205.46399868664977,205.46399868664977,134.994845952,134.994845952,134.994845952,120.37719824799574,120.37719824799574,120.37719824799574,-49.90804551334598,-49.90804551334598,-49.90804551334598,0.0,0.0,0.0,371.8348845951846
2019-02-03,166.36442962067647,270.9017883620391,531.7644440597938,166.36442962067647,166.36442962067647,237.50356621905246,237.50356621905246,237.50356621905246,134.994845952,134.994845952,134.994845952,151.27819633611503,151.27819633611503,151.27819633611503,-48.76947606906255,-48.76947606906255,-48.76947606906255,0.0,0.0,0.0,403.8679958397289
2019-02-04,166.3579733328182,126.05141516248777,379.99980785101883,166.3579733328182,166.3579733328182,88.71621707677694,88.71621707677694,88.71621707677694,134.994845952,134.994845952,134.994845952,1.7283173054472438,1.7283173054472438,1.7283173054472438,-48.0069461806703,-48.0069461806703,-48.0069461806703,0.0,0.0,0.0,255.07419040959513
2019-02-05,166.3515170449599,8.171528215473115,262.1984032724062,166.3515170449599,166.3515170449599,-29.728372894545323,-29.728372894545323,-29.728372894545323,134.994845952,134.994845952,134.994845952,-117.13087419300903,-117.13087419300903,-117.13087419300903,-47.5923446535363,-47.5923446535363,-47.5923446535363,0.0,0.0,0.0,136.6231441504146
2019-02-06,166.34506075710163,-24.066246847187756,237.99277291764807,166.34506075710163,166.34506075710163,-59.92452000385006,-59.92452000385006,-59.92452000385006,134.994845952,134.994845952,134.994845952,-147.42928730414027,-147.42928730414027,-147.42928730414027,-47.490078651709794,-47.490078651709794,-47.490078651709794,0.0,0.0,0.0,106.42054075325157
2019-02-07,166.33860446924334,48.79027083624554,295.469865802968,166.33860446924334,166.33860446924334,15.803861279610041,15.803861279610041,15.803861279610041,134.994845952,134.994845952,134.994845952,-71.53193418586118,-71.53193418586118,-71.53193418586118,-47.659050486528805,-47.659050486528805,-47.659050486528805,0.0,0.0,0.0,182.14246574885337
2019-02-08,166.33214818138507,178.03369510653712,441.4966669372802,166.33214818138507,166.33214818138507,149.6485587972912,149.6485587972912,149.6485587972912,134.994845952,134.994845952,134.994845952,62.70838379324282,62.70838379324282,62.70838379324282,-48.05467094795161,-48.05467094795161,-48.05467094795161,0.0,0.0,0.0,315.98070697867627
